filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
afbfa212-2c1b-40e2-81f4-c0a86079c8d0.fast5	afbfa212-2c1b-40e2-81f4-c0a86079c8d0	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	341	4	43522.423500	11.788750	23577	TRUE	43522.551000	23322	11.661250	4462	11.860139	0.000000	68.911644	8.269397	67.105652	9.066240
e8a09ee2-058d-4873-ab04-99eb3190de3f.fast5	e8a09ee2-058d-4873-ab04-99eb3190de3f	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	397	4	48480.479000	23.919750	47839	TRUE	48480.501500	47794	23.897250	8867	9.703918	0.000000	66.155174	9.647630	69.289581	9.331618
7dc5727e-9716-4b04-a190-dca3a04e9af8.fast5	7dc5727e-9716-4b04-a190-dca3a04e9af8	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	166	2	4033.311000	11.317750	22635	TRUE	4033.391500	22474	11.237250	4276	11.920753	0.000000	71.151268	8.613955	70.399803	9.321323
aa7863a8-f635-498d-a4fd-e531bbfa6e58.fast5	aa7863a8-f635-498d-a4fd-e531bbfa6e58	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	502	2	9657.162000	13.579000	27158	TRUE	9657.238500	27005	13.502500	4488	11.132558	0.000000	67.705688	9.992188	71.070129	9.743802
4be7efb1-398e-43a2-842e-bac0bd053b41.fast5	4be7efb1-398e-43a2-842e-bac0bd053b41	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	295	4	28358.316500	11.769750	23539	TRUE	28358.430500	23311	11.655750	4482	12.118891	0.000000	64.260109	9.819909	66.139351	8.952219
a63167dc-d481-4247-b264-a1f6a3827080.fast5	a63167dc-d481-4247-b264-a1f6a3827080	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	366	3	124704.181500	22.962500	45925	TRUE	124704.257500	45773	22.886500	8168	9.098641	0.000000	70.978989	9.819909	69.855675	9.473963
387e3e1d-cfd7-4f28-935e-0c40cc567a2b.fast5	387e3e1d-cfd7-4f28-935e-0c40cc567a2b	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	480	3	15479.151250	26.401500	52803	TRUE	15479.274250	52557	26.278500	8808	11.860517	0.000000	68.911644	8.269397	68.632324	9.148705
c145c07a-39cb-425c-8a54-7a13dfa1233a.fast5	c145c07a-39cb-425c-8a54-7a13dfa1233a	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	41	4	59517.947000	15.104000	30208	TRUE	59518.045500	30011	15.005500	4532	12.229103	0.000000	67.877968	10.164467	70.276176	9.198164
a2f83504-449e-45ec-b035-a34c9cfabec3.fast5	a2f83504-449e-45ec-b035-a34c9cfabec3	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	292	3	71978.011250	15.859250	31718	TRUE	71978.058250	31624	15.812250	4612	12.318451	0.000000	73.907738	11.025863	76.340210	10.136674
aa5fe8a4-2606-4f21-b540-e4c6460e5072.fast5	aa5fe8a4-2606-4f21-b540-e4c6460e5072	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	112	1	50119.466250	11.877250	23754	TRUE	50119.500750	23685	11.842750	4317	11.384869	0.000000	74.080017	8.613955	72.582664	9.527098
99148061-0834-4aa6-9594-b636ff2622d4.fast5	99148061-0834-4aa6-9594-b636ff2622d4	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	465	1	122822.566500	13.846750	27693	TRUE	122822.720000	27386	13.693250	4510	10.138007	0.000000	63.398712	9.647630	66.413223	8.955739
bb20f2e0-52a9-4265-9de7-3c0240fa4944.fast5	bb20f2e0-52a9-4265-9de7-3c0240fa4944	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	256	4	11307.890500	24.494500	48989	TRUE	11307.916000	48938	24.469000	9118	9.435912	0.000000	65.810616	8.786234	66.534370	9.084994
e470b4c9-72d8-4306-a873-297f98015001.fast5	e470b4c9-72d8-4306-a873-297f98015001	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	490	4	10874.196250	11.634750	23269	TRUE	10874.317750	23026	11.513250	4337	13.021194	0.000000	73.046341	8.613955	72.111221	9.807404
bac2d5bf-13ef-4b31-9dc5-0399519a1645.fast5	bac2d5bf-13ef-4b31-9dc5-0399519a1645	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	312	4	13573.322750	57.660750	115321	TRUE	13573.519250	114928	57.464250	19359	10.039698	0.000000	69.773041	9.647630	68.770172	8.849283
d3d661c1-a744-4a63-ad2e-d30f9c79d08d.fast5	d3d661c1-a744-4a63-ad2e-d30f9c79d08d	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	241	3	28608.093750	11.739500	23479	TRUE	28608.578750	22509	11.254500	4289	10.147367	0.000000	71.151268	10.681305	72.217651	9.741172
a9894e69-e1c5-46e2-84fa-ca91399136bc.fast5	a9894e69-e1c5-46e2-84fa-ca91399136bc	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	140	4	34783.063500	11.677000	23354	TRUE	34783.224500	23032	11.516000	4361	12.698829	0.000000	73.563179	8.441676	72.120094	9.422992
75edfe80-6c7a-4624-95f8-9f52e3c4439d.fast5	75edfe80-6c7a-4624-95f8-9f52e3c4439d	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	319	1	125686.958000	12.804500	25609	TRUE	125687.018000	25489	12.744500	4358	11.275898	0.000000	85.794991	11.370420	87.281593	11.281493
790c08bd-684d-4e06-8757-c39f2395351b.fast5	790c08bd-684d-4e06-8757-c39f2395351b	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	131	4	58307.470500	12.328500	24657	TRUE	58307.567500	24463	12.231500	4400	12.569349	0.000000	79.076111	9.130793	77.212654	10.031262
5bb17f73-10b7-4920-a407-d15ad33f98ea.fast5	5bb17f73-10b7-4920-a407-d15ad33f98ea	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	219	4	464.942500	11.064000	22128	TRUE	465.070000	21873	10.936500	4414	12.446606	0.000000	83.383087	9.130793	81.098404	10.248206
5c4c9048-257b-458f-af31-ec885dfe6d46.fast5	5c4c9048-257b-458f-af31-ec885dfe6d46	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	32	1	49853.091500	69.770000	139540	TRUE	49853.130500	139462	69.731000	23410	11.083100	0.000000	75.113693	10.509026	76.298508	9.665373
8e717764-9e77-46d8-80cb-efbd8938cf1b.fast5	8e717764-9e77-46d8-80cb-efbd8938cf1b	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	246	3	47102.560750	23.702000	47404	TRUE	47102.692250	47141	23.570500	9013	11.444076	0.000000	71.495827	9.475350	71.714958	9.751676
f3a63161-dbd1-4989-83ee-361e50a5d93a.fast5	f3a63161-dbd1-4989-83ee-361e50a5d93a	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	349	3	38689.424250	11.724500	23449	TRUE	38689.545250	23207	11.603500	4396	13.381515	0.000000	68.394806	10.164467	70.440834	9.809468
a694dc63-a960-4c7b-84a6-6904c6e46f30.fast5	a694dc63-a960-4c7b-84a6-6904c6e46f30	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	155	4	54444.223750	21.664000	43328	TRUE	54444.432250	42911	21.455500	4448	12.119483	0.000000	76.491920	9.130793	74.885757	9.659096
ef38af56-6f45-4dd0-a9ed-d77b27234adb.fast5	ef38af56-6f45-4dd0-a9ed-d77b27234adb	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	254	3	64315.963500	14.828250	29656	TRUE	64316.126500	29330	14.665250	4589	11.586743	0.000000	70.978989	8.269397	69.597137	9.730868
