filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
c91dbad9-eeb1-4cdb-acde-bcf3443fff60.fast5	c91dbad9-eeb1-4cdb-acde-bcf3443fff60	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	216	2	38964.762250	35.623500	35623	TRUE	38965.299250	35086	35.086500	13097	10.585235	0.000000	69.945320	9.647630	71.496506	9.448089
422ea9af-ea1a-4836-8994-7fb584e6d4d5.fast5	422ea9af-ea1a-4836-8994-7fb584e6d4d5	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	267	4	33428.441250	34.636500	34636	TRUE	33428.536250	34541	34.541500	13470	10.736974	0.000000	74.080017	9.303072	72.761475	9.439420
9f05195a-24a8-4af4-bb14-ae7b8f71d12b.fast5	9f05195a-24a8-4af4-bb14-ae7b8f71d12b	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	180	3	134538.196250	13.706750	13706	TRUE	134538.313250	13589	13.589750	4636	10.882235	0.000000	78.903831	8.958513	76.576096	9.575180
b9426932-2539-4835-b330-63e9f3b6a6a7.fast5	b9426932-2539-4835-b330-63e9f3b6a6a7	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	168	3	21387.568750	11.871250	11871	TRUE	21387.639750	11800	11.800250	4509	10.994234	0.000000	66.499733	10.164467	68.768562	9.604295
ad015e0b-6398-4645-9374-d10195efed59.fast5	ad015e0b-6398-4645-9374-d10195efed59	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	79	3	18546.350500	14.240750	14240	TRUE	18546.392500	14198	14.198750	4642	10.936420	0.000000	73.390900	8.441676	72.542252	9.303162
1aae1c9a-939b-4026-8016-f82e4cc89383.fast5	1aae1c9a-939b-4026-8016-f82e4cc89383	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	508	3	21863.235750	11.543750	11543	TRUE	21863.250750	11528	11.528750	4485	10.139074	0.000000	70.462151	10.164467	72.212769	9.014191
a0af9b8b-65d5-4536-b0ba-8087a6fc38cd.fast5	a0af9b8b-65d5-4536-b0ba-8087a6fc38cd	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	165	2	30470.108000	39.592000	39592	TRUE	30470.234000	39466	39.466000	13545	10.118129	0.000000	60.986801	9.647630	62.858448	8.556380
9b403aa1-180f-42ce-b2dc-c9bb54f61c18.fast5	9b403aa1-180f-42ce-b2dc-c9bb54f61c18	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	69	4	25127.795000	65.029250	65029	TRUE	25128.013000	64811	64.811250	26056	10.021688	0.000000	72.184944	9.303072	70.671127	9.216595
0eeebc7a-9754-408d-9884-136de4d219d0.fast5	0eeebc7a-9754-408d-9884-136de4d219d0	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	352	3	72476.493000	14.522500	14522	TRUE	72476.627000	14388	14.388500	4603	10.957293	0.000000	74.424576	8.441676	72.987762	9.346853
68e450b2-411e-4442-8230-dde7a66984e9.fast5	68e450b2-411e-4442-8230-dde7a66984e9	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	455	3	92654.959250	25.985750	25985	TRUE	92655.083250	25861	25.861750	9069	11.633038	0.000000	70.462151	10.509026	73.491356	9.339266
dcb5325e-3fb7-4b36-b155-2b5e044f8516.fast5	dcb5325e-3fb7-4b36-b155-2b5e044f8516	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	95	1	51808.691500	12.702750	12702	TRUE	51808.719500	12674	12.674750	4380	11.795907	0.000000	68.911644	10.336746	71.123421	9.448544
